2wheeler,2wheeler_sales,4wheeler,4wheeler_sales
OLA ELECTRIC,"1,65,589",TATA MOTOR,42701.0
HERO MOTORS,97812,MG MOTOR INDIA,5591.0
OKINAWA AUTOTECH,96648,BYD INDIA,1477.0
AMPERE VEHICLES,91604,HYUNDAI MOTOR INDIA,998.0
TVS MOTOR COMPANY,89961,MAHINDRA & MAHINDRA,668.0
ATHER ENERGY,83921,BMW INDIA PVT LTD,469.0
BAJAJ AUTO LTD,30339,KIA MOTORS INDIA,384.0
OKAYA EV PVT LTD,13510,PCA AUTOMOBILES INDIA,334.0
REVOLT INTELLICORP,13822,Others,1221.0
PUR ENERGY PVT LTD,13815,,
Others,82137,,
